state,top,pounds,second,pounds, third,pounds
AK,Twix,4908,Milky Way,4072,Blow Pops,3988
AL,Candy Corn,115269,Starburst,111280,Skittles,98771
AR,Jolly Ranchers,228645,Butterfinger,201845,Skittles,76353
AZ,Hot Tamales,751772,Hershey Kisses,732991,Snickers,682562
CA,Skittles,1509827,Reese's Cups,1059223,M&M's,1009388
CO,Hershey Kisses,129826,Twix,127840,Milky Way,107636
CT,Milky Way,2987,Almond Joy,2278,M&M's,1582
DC,M&M's,27546,Tootsie Pops,24725,Blow Pops,19827
DE,Skittles,21336,Life Savers,16703,Candy Corn,11987
FL,Skittles,598285,Reese's Cups,501926,Starburst,410029
GA,Swedish Fish,145827,Jolly Ranchers,124872,Reese's Cups,92746
HI,Skittles,28091,Hershey's Mini Bars,25783,Butterfinger,20974
IA,M&M's,67829,Reese's Cups,59726,Candy Corn,48352
ID,Starburst,90284,Snickers,68546,Candy Corn,39876
IL,Sour Patch Kids,175867,Kit Kat,139723,Starburst,121845
IN,Starburst,99725,Hot Tamales,95638,Jolly Ranchers,75208
KS,Reese's Cups,229857,M&M's,213784,Snickers,189736
KY,Swedish Fish,75254,Reese's Cups,50272,Hot Tamales,33748
LA,Lemonheads,115789,Blow Pops,101889,Reese's Cups,82675
MA,Sour Patch Kids,70772,Butterfinger,72838,Dubble Bubble Gum,47282
MD,Reese's Cups,36887,Hershey Kisses,30423,Milky Way,24817
ME,Sour Patch Kids,59873,Starburst,51899,Candy Corn,33776
MI,Candy Corn,115269,Starburst,111280,Skittles,98771
MN,Skittles,190827,Tootsie Pops,178092,Candy Corn,120938
MO,Milky Way,45221,Almond Joy,36782,Dubble Bubble Gum,36772
MS,3 Musketeers,95727,Snickers,94772,Butterfinger,68683
MT,Dubble Bubble Gum,29773,Twix,21863,M&M's,16729
NC,Reese's Cups,85779,Snickers,84322,M&M's,78772
ND,Candy Corn,61837,Hot Tamales,56745,Jolly Ranchers,49883
NE,Sour Patch Kids,98486,Salt Water Taffy,89734,Twix,35620
NH,M&M's,69692,Starburst,59822,Jolly Ranchers,35775
NJ,Tootsie Pops,141782,M&M's,137992,Skittles,130098
NM,Jolly Ranchers,80092,Candy Corn,74637,Milky Way,60829
NV,Hershey Kisses,310974,Hot Tamales,286464,Candy Corn,219836
NY,Sour Patch Kids,150325,Hot Tamales,142677,Candy Corn,65820
OH,Blow Pops,170236,M&M's,156773,Starburst,140772
OK,Dubble Bubble Gum,19232,Skittles,14990,Snickers,12109
OR,M&M's,89772,Reese's Cups,80726,Candy Corn,60827
PA,Hershey's Mini Bars,275617,Skittles,249827,M&M's,182093
RI,Twix,17827,M&M's,15627,Candy Corn,12363
SC,Butterfinger,119664,Skittles,113847,Candy Corn,70838
SD,Starburst,26371,Jolly Ranchers,19217,Candy Corn,13826
TN,Tootsie Pops,55627,Salt Water Taffy,48888,Skittles,38991
TX,Starburst,984627,Reese's Cups,972849,Sour Patch Kids,659870
UT,Jolly Ranchers,413099,Tootsie Pops,260378,Candy Corn,240993
VA,Snickers,165255,Hot Tamales,150993,Tootsie Pops,99009
VT,Skittles,34670,M&M's,24536,Milky Way,19909
WA,Tootsie Pops,205882,Salt Water Taffy,180722,Skittles,90828
WI,Starburst,110827,Butterfinger,98272,Hot Tamales,63829
WV,Hershey's Mini Bars,39812,Blow Pops,38747,Milky Way,32884
WY,Salt Water Taffy,25864,Reese's Cups,24790,Dubble Bubble Gum,18776